country,rate,,,,,,,,,
Brazil,88.6,,,,,,,,,
Dominica,88,,,,,,,,,
Saint,94.8,,,,,,,,,
Kazakhstan,99.5,,,,,,,,,
Venezuela (Bolivian Republic of),93,,,,,,,,,
Colombia,92.8,,,,,,,,,
Ukraine,99.4,,,,,,,,,
Samoa,98.6,,,,,,,,,
Thailand,92.6,,,,,,,,,
Dominican Republic,87,,,,,,,,,
Belize,75.1,,,,,,,,,
China,90.9,,,,,,,,,
Grenada,96,,,,,,,,,
Armenia,99.4,,,,,,,,,
Turkey,87.4,,,,,,,,,
Suriname,89.6,,,,,,,,,
Jordan,91.1,,,,,,,,,
Peru,87.9,,,,,,,,,
Lebanon,88.3,,,,,,,,,
Ecuador,91,,,,,,,,,
Philippines,92.6,,,,,,,,,
Tunisia,74.3,,,,,,,,,
Fiji,94.4,,,,,,,,,
Saint Vincent and the Grenadines,88.1,,,,,,,,,
Iran (Islamic Republic of),82.4,,,,,,,,,
Paraguay,93.5,,,,,,,,,
Georgia,100,,,,,,,,,
Guyana,99,,,,,,,,,
Azerbaijan,98.8,,,,,,,,,
Sri Lanka,90.7,,,,,,,,,
Maldives,96.3,,,,,,,,,
Jamaica,79.9,,,,,,,,,
Cape Verde,81.2,,,,,,,,,
El Salvador,80.6,,,,,,,,,
Algeria,69.9,,,,,,,,,
Viet Nam,90.3,,,,,,,,,
Occupied Palestinian Territories,92.4,,,,,,,,,
Indonesia,90.4,,,,,,,,,
Syrian Arab Republic,80.8,,,,,,,,,
Turkmenistan,98.8,,,,,,,,,
Nicaragua,76.7,,,,,,,,,
Moldova,99.1,,,,,,,,,
Egypt,71.4,,,,,,,,,
Uzbekistan,99.4,,,,,,,,,
Mongolia,97.8,,,,,,,,,
Honduras,80,,,,,,,,,
Kyrgyzstan,98.7,,,,,,,,,
Bolivia,86.7,,,,,,,,,
Guatemala,69.1,,,,,,,,,
Gabon,84,,,,,,,,,
Vanuatu,74,,,,,,,,,
South Africa,50.8,,,,,,,,,
Tajikistan,99.5,,,,,,,,,
Sao Tome and Principe,84.9,,,,,,,,,
Botswana,81.2,,,,,,,,,
Namibia,85,,,,,,,,,
Morocco,52.3,,,,,,,,,
Equatorial Guinea,50.4,,,,,,,,,
India,61,,,,,,,,,
Solomon Islands,63,,,,,,,,,
Lao Peoples' Democratic Republic,68.7,,,,,,,,,
Cambodia,73.6,,,,,,,,,
Myanmar,89.9,,,,,,,,,
Bhutan,47,,,,,,,,,
Comoros,56.8,,,,,,,,,
Ghana,57.9,,,,,,,,,
Pakistan,49.9,,,,,,,,,
Mauritania,51.2,,,,,,,,,
Lesotho,82.2,,,,,,,,,
Congo,84.7,,,,,,,,,
Bangladesh,47.5,,,,,,,,,
Swaziland,79.6,,,,,,,,,
Nepal,48.6,,,,,,,,,
Madagascar,70.7,,,,,,,,,
Cameroon,67.9,,,,,,,,,
Papua New Guinea,57.3,,,,,,,,,
Haiti,54.8,,,,,,,,,
Sudan,60.9,,,,,,,,,
Kenya,73.6,,,,,,,,,
Djibouti,70.3,,,,,,,,,
Timor-Leste,50.1,,,,,,,,,
Zimbabwe,89.4,,,,,,,,,
Togo,53.2,,,,,,,,,
Yemen,54.1,,,,,,,,,
Uganda,66.8,,,,,,,,,
Gambia,42.5,,,,,,,,,
Senegal,39.3,,,,,,,,,
Eritrea,60.5,,,,,,,,,
Nigeria,69.1,,,,,,,,,
Tanzania (United Republic of),69.4,,,,,,,,,
Guinea,29.5,,,,,,,,,
Rwanda,64.9,,,,,,,,,
Angola,67.4,,,,,,,,,
Benin,34.7,,,,,,,,,
Malawi,64.1,,,,,,,,,
Zambia,68,,,,,,,,,
C�te d�Ivoire,47.4,,,,,,,,,
Burundi,59.3,,,,,,,,,
Congo (Democratc Republic of the),67.2,,,,,,,,,
Ethiopia,35.9,,,,,,,,,
Chad,25.7,,,,,,,,,
Central African Republic,48.6,,,,,,,,,
Mozambique,38.7,,,,,,,,,
Mali,24,,,,,,,,,
Niger,28.7,,,,,,,,,
Guinea-Bissau,44.8,,,,,,,,,
Burkina Faso,23.6,,,,,,,,,
Sierra Leone,44.6,,,,,,,,,
Developing countries,76.7,,,,,,,,,
Least developed countries,53.9,,,,,,,,,
United States,70.3,,,,,,,,,
East Asia and the Pacific,90.7,,,,,,,,,
Latin America and the Caribbean,90.3,,,,,,,,,
South Asia,59.5,,,,,,,,,
Sub-Saharan Africa,60.3,,,,,,,,,
Central and Eastern Europe and the CIS,99,,,,,,,,,
OECD,99,,,,,,,,,
High-income OECD,99,,,,,,,,,
High human development,99,,,,,,,,,
Medium Human Development,78,,,,,,,,,
Low human development,54.4,,,,,,,,,
HIgh income,99,,,,,,,,,
Middle income,89.9,,,,,,,,,
Low income,60.2,,,,,,,,,
World,78.6,,,,,,,,,
